chapter_id,chapter_name
26021,Ezekiel 21
26022,Ezekiel 22
26023,Ezekiel 23
26024,Ezekiel 24
26025,Ezekiel 25
26026,Ezekiel 26
26027,Ezekiel 27
26028,Ezekiel 28
26029,Ezekiel 29
26030,Ezekiel 30
26031,Ezekiel 31
26032,Ezekiel 32
26033,Ezekiel 33
26034,Ezekiel 34
26035,Ezekiel 35
26036,Ezekiel 36
26037,Ezekiel 37
26038,Ezekiel 38
26039,Ezekiel 39
26040,Ezekiel 40
26041,Ezekiel 41
26042,Ezekiel 42
26043,Ezekiel 43
26044,Ezekiel 44
26045,Ezekiel 45
26046,Ezekiel 46
26047,Ezekiel 47
26048,Ezekiel 48
27001,Daniel 1
27002,Daniel 2
27003,Daniel 3
27004,Daniel 4
27005,Daniel 5
27006,Daniel 6
27007,Daniel 7
27008,Daniel 8
27009,Daniel 9
27010,Daniel 10
27011,Daniel 11
27012,Daniel 12
28001,Hosea 1
28002,Hosea 2
28003,Hosea 3
28004,Hosea 4
28005,Hosea 5
28006,Hosea 6
28007,Hosea 7
28008,Hosea 8
28009,Hosea 9
28010,Hosea 10
28011,Hosea 11
28012,Hosea 12
28013,Hosea 13
28014,Hosea 14
29001,Joel 1
29002,Joel 2
29003,Joel 3
30001,Amos 1
30002,Amos 2
30003,Amos 3
30004,Amos 4
30005,Amos 5
30006,Amos 6
30007,Amos 7
30008,Amos 8
30009,Amos 9
31001,Obadiah 1
32001,Jonah 1
32002,Jonah 2
32003,Jonah 3
32004,Jonah 4
33001,Micah 1
33002,Micah 2
33003,Micah 3
33004,Micah 4
33005,Micah 5
33006,Micah 6
33007,Micah 7
34001,Nahum 1
34002,Nahum 2
34003,Nahum 3
35001,Habakkuk 1
35002,Habakkuk 2
35003,Habakkuk 3
36001,Zephaniah 1
36002,Zephaniah 2
36003,Zephaniah 3
37001,Haggai 1
37002,Haggai 2
38001,Zechariah 1
38002,Zechariah 2
38003,Zechariah 3
38004,Zechariah 4
38005,Zechariah 5
38006,Zechariah 6
38007,Zechariah 7
38008,Zechariah 8
38009,Zechariah 9
38010,Zechariah 10
38011,Zechariah 11
38012,Zechariah 12
38013,Zechariah 13
38014,Zechariah 14
39001,Malachi 1
39002,Malachi 2
39003,Malachi 3
39004,Malachi 4
40001,Matthew 1
40002,Matthew 2
40003,Matthew 3
40004,Matthew 4
40005,Matthew 5
40006,Matthew 6
40007,Matthew 7
40008,Matthew 8
40009,Matthew 9
40010,Matthew 10
40011,Matthew 11
40012,Matthew 12
40013,Matthew 13
40014,Matthew 14
40015,Matthew 15
40016,Matthew 16
40017,Matthew 17
40018,Matthew 18
40019,Matthew 19
40020,Matthew 20
40021,Matthew 21
40022,Matthew 22
40023,Matthew 23
40024,Matthew 24
40025,Matthew 25
40026,Matthew 26
40027,Matthew 27
40028,Matthew 28
41001,Mark 1
41002,Mark 2
41003,Mark 3
41004,Mark 4
41005,Mark 5
41006,Mark 6
41007,Mark 7
41008,Mark 8
41009,Mark 9
41010,Mark 10
41011,Mark 11
41012,Mark 12
41013,Mark 13
41014,Mark 14
41015,Mark 15
41016,Mark 16
42001,Luke 1
42002,Luke 2
42003,Luke 3
42004,Luke 4
42005,Luke 5
42006,Luke 6
42007,Luke 7
42008,Luke 8
42009,Luke 9
42010,Luke 10
42011,Luke 11
42012,Luke 12
42013,Luke 13
42014,Luke 14
42015,Luke 15
42016,Luke 16
42017,Luke 17
42018,Luke 18
42019,Luke 19
42020,Luke 20
42021,Luke 21
42022,Luke 22
42023,Luke 23
42024,Luke 24
43001,John 1
43002,John 2
43003,John 3
43004,John 4
43005,John 5
43006,John 6
43007,John 7
43008,John 8
43009,John 9
43010,John 10
43011,John 11
43012,John 12
43013,John 13
43014,John 14
43015,John 15
43016,John 16
43017,John 17
43018,John 18
43019,John 19
43020,John 20
43021,John 21
44001,Acts 1
44002,Acts 2
44003,Acts 3
44004,Acts 4
44005,Acts 5
44006,Acts 6
44007,Acts 7
44008,Acts 8
44009,Acts 9
44010,Acts 10
44011,Acts 11
44012,Acts 12
44013,Acts 13
44014,Acts 14
44015,Acts 15
44016,Acts 16
44017,Acts 17
44018,Acts 18
44019,Acts 19
44020,Acts 20
44021,Acts 21
44022,Acts 22
44023,Acts 23
44024,Acts 24
44025,Acts 25
44026,Acts 26
44027,Acts 27
44028,Acts 28
45001,Romans 1
45002,Romans 2
45003,Romans 3
45004,Romans 4
45005,Romans 5
45006,Romans 6
45007,Romans 7
45008,Romans 8
45009,Romans 9
45010,Romans 10
45011,Romans 11
45012,Romans 12
45013,Romans 13
45014,Romans 14
45015,Romans 15
45016,Romans 16
46001,1 Corinthians 1
46002,1 Corinthians 2
46003,1 Corinthians 3
46004,1 Corinthians 4
46005,1 Corinthians 5
46006,1 Corinthians 6
46007,1 Corinthians 7
46008,1 Corinthians 8
46009,1 Corinthians 9
46010,1 Corinthians 10
46011,1 Corinthians 11
46012,1 Corinthians 12
46013,1 Corinthians 13
46014,1 Corinthians 14
46015,1 Corinthians 15
46016,1 Corinthians 16
47001,2 Corinthians 1
47002,2 Corinthians 2
47003,2 Corinthians 3
47004,2 Corinthians 4
47005,2 Corinthians 5
47006,2 Corinthians 6
47007,2 Corinthians 7
47008,2 Corinthians 8
47009,2 Corinthians 9
47010,2 Corinthians 10
47011,2 Corinthians 11
47012,2 Corinthians 12
47013,2 Corinthians 13
48001,Galatians 1
48002,Galatians 2
48003,Galatians 3
48004,Galatians 4
48005,Galatians 5
48006,Galatians 6
49001,Ephesians 1
49002,Ephesians 2
49003,Ephesians 3
49004,Ephesians 4
49005,Ephesians 5
49006,Ephesians 6
50001,Philippians 1
50002,Philippians 2
50003,Philippians 3
50004,Philippians 4
51001,Colossians 1
51002,Colossians 2
51003,Colossians 3
51004,Colossians 4
52001,1 Thessalonians 1
52002,1 Thessalonians 2
52003,1 Thessalonians 3
52004,1 Thessalonians 4
52005,1 Thessalonians 5
53001,2 Thessalonians 1
53002,2 Thessalonians 2
53003,2 Thessalonians 3
54001,1 Timothy 1
54002,1 Timothy 2
54003,1 Timothy 3
54004,1 Timothy 4
54005,1 Timothy 5
54006,1 Timothy 6
55001,2 Timothy 1
55002,2 Timothy 2
55003,2 Timothy 3
55004,2 Timothy 4
56001,Titus 1
56002,Titus 2
56003,Titus 3
57001,Philemon 1
58001,Hebrews 1
58002,Hebrews 2
58003,Hebrews 3
58004,Hebrews 4
58005,Hebrews 5
58006,Hebrews 6
58007,Hebrews 7
58008,Hebrews 8
58009,Hebrews 9
58010,Hebrews 10
58011,Hebrews 11
58012,Hebrews 12
58013,Hebrews 13
59001,James 1
59002,James 2
59003,James 3
59004,James 4
59005,James 5
60001,1 Peter 1
60002,1 Peter 2
60003,1 Peter 3
60004,1 Peter 4
60005,1 Peter 5
